file,parsed,has_meta,has_roi,has_recs,model,temp,window,period,cfg,roi,n_holdings,model_raw,err
perm_0170_gpt-4o_T0.3_12mo_202407_20260222_222656.json,True,True,True,True,GPT-4o,0.3,202407,12,10→5,10.26771349860228,5.0,gpt-4o,
perm_0171_gpt-4o_T0.3_12mo_202407_20260222_193905.json,True,True,True,True,GPT-4o,0.3,202407,12,5→3,10.644756223436852,3.0,gpt-4o,
perm_0171_gpt-4o_T0.3_12mo_202407_20260222_220622.json,True,False,False,False,GPT-4o,0.3,202407,12,,,,gpt-4o,
perm_0171_gpt-4o_T0.3_12mo_202407_20260222_220923.json,True,False,False,False,GPT-4o,0.3,202407,12,,,,gpt-4o,
perm_0171_gpt-4o_T0.3_12mo_202407_20260222_220924.json,True,False,False,False,GPT-4o,0.3,202407,12,,,,gpt-4o,
perm_0171_gpt-4o_T0.3_12mo_202407_20260222_221254.json,True,False,False,False,GPT-4o,0.3,202407,12,,,,gpt-4o,
perm_0171_gpt-4o_T0.3_12mo_202407_20260222_222958.json,True,True,True,True,GPT-4o,0.3,202407,12,5→3,6.984342876742994,3.0,gpt-4o,
perm_0172_gpt-4o-mini_T0.3_12mo_202407_20260222_193934.json,True,True,True,True,GPT-4o-mini,0.3,202407,12,20→5,13.288422602528826,5.0,gpt-4o-mini,
perm_0172_gpt-4o-mini_T0.3_12mo_202407_20260222_220622.json,True,False,False,False,GPT-4o-mini,0.3,202407,12,,,,gpt-4o-mini,
perm_0172_gpt-4o-mini_T0.3_12mo_202407_20260222_220923.json,True,False,False,False,GPT-4o-mini,0.3,202407,12,,,,gpt-4o-mini,
perm_0172_gpt-4o-mini_T0.3_12mo_202407_20260222_220924.json,True,False,False,False,GPT-4o-mini,0.3,202407,12,,,,gpt-4o-mini,
perm_0172_gpt-4o-mini_T0.3_12mo_202407_20260222_221301.json,True,True,True,True,GPT-4o-mini,0.3,202407,12,20→5,20.14305737599705,5.0,gpt-4o-mini,
perm_0172_gpt-4o-mini_T0.3_12mo_202407_20260222_221313.json,True,True,True,True,GPT-4o-mini,0.3,202407,12,20→5,23.630191527180415,5.0,gpt-4o-mini,
perm_0172_gpt-4o-mini_T0.3_12mo_202412_20260615_110959.json,True,True,True,True,GPT-4o-mini,0.3,202412,12,Ranked,28.287501622293437,7.0,gpt-4o-mini,
perm_0172_gpt-4o-mini_T0.3_12mo_202412_20260615_111031.json,True,True,True,True,GPT-4o-mini,0.3,202412,12,Ranked,31.872044851449427,6.0,gpt-4o-mini,
perm_0172_gpt-4o-mini_T0.3_12mo_202412_20260615_111057.json,True,True,True,True,GPT-4o-mini,0.3,202412,12,Ranked,37.57701462866173,6.0,gpt-4o-mini,
